t_ms,left_pwm,right_pwm,gyro_z,left_counts,right_counts,left_rate,right_rate
2637,400,800,212.193,-2834,-8108,-3400.00,-48800.00
2694,400,800,211.201,-2851,-8347,-3400.00,-47800.00
2751,400,800,208.331,-2868,-8582,-3400.00,-47000.00
2808,400,800,209.690,-2881,-8823,-2600.00,-48200.00
2865,400,800,225.079,-2893,-9065,-2400.00,-48400.00
2922,400,800,216.941,-2902,-9307,-1800.00,-48400.00
2979,400,800,217.461,-2913,-9552,-2200.00,-49000.00
3036,600,600,206.148,-2924,-9791,-2200.00,-47800.00
3093,600,600,120.254,-2973,-10005,-9800.00,-42800.00
3151,600,600,71.964,-3057,-10184,-16800.00,-35800.00
3209,600,600,45.064,-3155,-10341,-19600.00,-31400.00
3267,600,600,30.545,-3258,-10482,-20600.00,-28200.00
3325,600,600,16.117,-3364,-10611,-21200.00,-25800.00
3383,600,600,13.903,-3472,-10734,-21600.00,-24600.00
3441,600,600,9.308,-3580,-10853,-21600.00,-23800.00
3498,600,600,6.331,-3686,-10967,-21200.00,-22800.00
3555,600,600,1.934,-3792,-11076,-21200.00,-21800.00
3612,600,600,-13.288,-3900,-11176,-21600.00,-20000.00
3671,600,600,-13.059,-4011,-11272,-22200.00,-19200.00
3730,600,600,-21.181,-4119,-11363,-21600.00,-18200.00
3789,600,600,-11.852,-4226,-11453,-21400.00,-18000.00
3848,600,600,-12.112,-4333,-11544,-21400.00,-18200.00
3907,600,600,-2.952,-4439,-11638,-21200.00,-18800.00
3965,600,600,-12.753,-4542,-11735,-20600.00,-19400.00
4024,600,600,-0.585,-4647,-11837,-21000.00,-20400.00
4082,600,600,-1.028,-4752,-11941,-21000.00,-20800.00
4140,600,600,-1.837,-4858,-12048,-21200.00,-21400.00
4198,600,600,2.590,-4967,-12157,-21800.00,-21800.00
4255,600,600,1.064,-5076,-12266,-21800.00,-21800.00
4312,600,600,1.308,-5186,-12376,-22000.00,-22000.00
4369,600,600,2.728,-5295,-12485,-21800.00,-21800.00
4426,600,600,0.346,-5403,-12592,-21600.00,-21400.00
4483,600,600,-1.837,-5506,-12694,-20600.00,-20400.00
4541,600,600,-8.204,-5610,-12790,-20800.00,-19200.00
4599,600,600,-10.677,-5717,-12883,-21400.00,-18600.00
4658,600,600,-10.249,-5826,-12978,-21800.00,-19000.00
4717,600,600,-6.402,-5933,-13074,-21400.00,-19200.00
4775,600,600,-1.929,-6038,-13175,-21000.00,-20200.00
4833,600,600,-6.234,-6144,-13282,-21200.00,-21400.00
4891,600,600,-0.326,-6250,-13389,-21200.00,-21400.00
4949,600,600,1.598,-6359,-13497,-21800.00,-21600.00
5006,600,600,3.476,-6467,-13605,-21600.00,-21600.00
5063,600,600,3.338,-6577,-13715,-22000.00,-22000.00
5120,600,600,-1.028,-6686,-13824,-21800.00,-21800.00
5178,600,600,5.674,-6797,-13935,-22200.00,-22200.00
5235,600,600,-2.891,-6904,-14041,-21400.00,-21200.00
5293,600,600,1.735,-7006,-14144,-20400.00,-20600.00
5350,600,600,5.232,-7103,-14241,-19400.00,-19400.00
5407,600,600,-1.333,-7200,-14337,-19400.00,-19200.00
5465,600,600,1.674,-7297,-14435,-19400.00,-19600.00
5522,600,600,-0.372,-7393,-14531,-19200.00,-19200.00
5580,600,600,-2.127,-7494,-14632,-20200.00,-20200.00
5638,600,600,-0.906,-7596,-14734,-20400.00,-20400.00
5696,600,600,1.690,-7700,-14838,-20800.00,-20800.00
5753,600,600,-1.120,-7804,-14942,-20800.00,-20800.00
5811,600,600,1.842,-7911,-15049,-21400.00,-21400.00
5868,600,600,-1.394,-8017,-15155,-21200.00,-21200.00
5926,600,600,-2.494,-8124,-15262,-21400.00,-21400.00
5984,600,600,4.224,-8231,-15369,-21400.00,-21400.00
6041,600,600,-0.066,-8334,-15472,-20600.00,-20600.00
6099,600,600,0.422,-8435,-15572,-20200.00,-20000.00
6156,600,600,-0.997,-8530,-15667,-19000.00,-19000.00
6214,600,600,1.064,-8626,-15763,-19200.00,-19200.00
6271,600,600,-0.906,-8720,-15857,-18800.00,-18800.00
6329,600,600,-0.921,-8816,-15954,-19200.00,-19400.00
6387,600,600,3.293,-8916,-16054,-20000.00,-20000.00
6444,600,600,3.522,-9016,-16154,-20000.00,-20000.00
6501,600,600,-0.967,-9118,-16255,-20400.00,-20200.00
6559,600,600,-2.936,-9222,-16361,-20800.00,-21200.00
6617,600,600,0.941,-9328,-16467,-21200.00,-21200.00
6674,600,600,8.209,-9434,-16572,-21200.00,-21000.00
6731,600,600,-2.891,-9539,-16677,-21000.00,-21000.00
6789,600,600,-0.555,-9646,-16784,-21400.00,-21400.00
6847,600,600,3.598,-9750,-16887,-20800.00,-20600.00
6904,600,600,-0.570,-9849,-16983,-19800.00,-19200.00
6962,600,600,-10.310,-9952,-17074,-20600.00,-18200.00
