t_ms,left_pwm,right_pwm,gyro_z,left_counts,right_counts,left_rate,right_rate
0,600,600,-98.463,-82,-58,0.00,0.00
41,600,600,-69.013,-152,-106,-14000.00,-9600.00
94,600,600,-87.959,-253,-174,-20200.00,-13600.00
148,600,600,-20.081,-362,-255,-21800.00,-16200.00
203,600,600,4.972,-474,-342,-22400.00,-17400.00
256,600,600,-56.921,-582,-405,-21600.00,-12600.00
311,600,600,-38.112,-671,-447,-17800.00,-8400.00
365,600,600,-20.158,-761,-509,-18000.00,-12400.00
420,600,600,-13.684,-855,-581,-18800.00,-14400.00
475,600,600,-13.043,-950,-658,-19000.00,-15400.00
530,600,600,-13.730,-1045,-740,-19000.00,-16400.00
586,600,600,-5.975,-1144,-826,-19800.00,-17200.00
641,600,600,-16.341,-1242,-911,-19600.00,-17000.00
697,600,600,-8.585,-1342,-995,-20000.00,-16800.00
752,600,600,-18.707,-1439,-1075,-19400.00,-16000.00
809,600,600,-22.295,-1539,-1155,-20000.00,-16000.00
866,600,600,-11.990,-1639,-1237,-20000.00,-16400.00
923,600,600,-15.547,-1738,-1318,-19800.00,-16200.00
980,600,600,-13.211,-1836,-1400,-19600.00,-16400.00
1037,400,800,-12.036,-1934,-1482,-19600.00,-16400.00
1095,400,800,95.674,-2020,-1627,-17200.00,-29000.00
1152,400,800,142.697,-2089,-1832,-13800.00,-41000.00
1210,400,800,167.415,-2149,-2064,-12000.00,-46400.00
1268,400,800,179.537,-2201,-2307,-10400.00,-48600.00
1326,400,800,179.293,-2248,-2549,-9400.00,-48400.00
1383,400,800,181.903,-2289,-2784,-8200.00,-47000.00
1440,400,800,195.888,-2329,-3024,-8000.00,-48000.00
1497,400,800,198.774,-2364,-3269,-7000.00,-49000.00
1554,400,800,196.667,-2394,-3514,-6000.00,-49000.00
1611,400,800,202.835,-2422,-3759,-5600.00,-49000.00
1668,400,800,196.132,-2450,-3999,-5600.00,-48000.00
1725,400,800,194.667,-2478,-4234,-5600.00,-47000.00
1782,400,800,200.148,-2507,-4473,-5800.00,-47800.00
1839,400,800,205.949,-2534,-4716,-5400.00,-48600.00
1896,400,800,207.140,-2561,-4959,-5400.00,-48600.00
1953,400,800,202.071,-2586,-5205,-5000.00,-49200.00
2010,400,800,199.293,-2610,-5447,-4800.00,-48400.00
2067,400,800,200.453,-2636,-5683,-5200.00,-47200.00
2124,400,800,205.262,-2660,-5924,-4800.00,-48200.00
2181,400,800,208.758,-2682,-6169,-4400.00,-49000.00
2238,400,800,211.522,-2703,-6414,-4200.00,-49000.00
2295,400,800,213.232,-2725,-6659,-4400.00,-49000.00
2352,400,800,208.880,-2748,-6901,-4600.00,-48400.00
2409,400,800,203.644,-2769,-7136,-4200.00,-47000.00
2466,400,800,210.346,-2788,-7377,-3800.00,-48200.00
2523,400,800,214.285,-2803,-7622,-3000.00,-49000.00
2580,400,800,212.163,-2817,-7864,-2800.00,-48400.00
