t_ms,left_pwm,right_pwm,gyro_z,left_counts,right_counts,left_rate,right_rate
0,800,800,-18.005,-179,-168,0.00,0.00
43,800,800,-13.349,-336,-317,-31400.00,-29800.00
97,800,800,3.399,-555,-528,-43800.00,-42200.00
149,800,800,-5.364,-786,-757,-46200.00,-45800.00
203,800,800,-5.898,-1029,-1000,-48600.00,-48600.00
259,800,800,2.102,-1283,-1254,-50800.00,-50800.00
314,800,800,3.033,-1533,-1503,-50000.00,-49800.00
369,800,800,-3.211,-1784,-1754,-50200.00,-50200.00
425,800,800,0.178,-2041,-2012,-51400.00,-51600.00
480,800,800,4.468,-2295,-2266,-50800.00,-50800.00
535,800,800,-1.364,-2549,-2520,-50800.00,-50800.00
591,800,800,1.323,-2805,-2777,-51200.00,-51400.00
646,800,800,2.300,-3056,-3027,-50200.00,-50000.00
701,800,800,-4.066,-3307,-3278,-50200.00,-50200.00
757,800,800,-1.349,-3564,-3535,-51400.00,-51400.00
813,800,800,8.224,-3822,-3793,-51600.00,-51600.00
868,800,800,-4.906,-4076,-4046,-50800.00,-50600.00
924,800,800,-5.730,-4332,-4300,-51200.00,-50800.00
980,800,800,7.735,-4589,-4556,-51400.00,-51200.00
1035,600,1000,2.148,-4842,-4808,-50600.00,-50400.00
1092,600,1000,31.354,-5087,-5076,-49000.00,-53600.00
1150,600,1000,62.896,-5306,-5353,-43800.00,-55400.00
1208,600,1000,79.628,-5502,-5629,-39200.00,-55200.00
1266,600,1000,97.705,-5679,-5902,-35400.00,-54600.00
1324,600,1000,108.254,-5838,-6177,-31800.00,-55000.00
1383,600,1000,123.613,-5991,-6459,-30600.00,-56400.00
1442,600,1000,129.613,-6137,-6742,-29200.00,-56600.00
1501,600,1000,126.361,-6274,-7021,-27400.00,-55800.00
1560,600,1000,127.308,-6409,-7297,-27000.00,-55200.00
1619,600,1000,137.491,-6537,-7574,-25600.00,-55400.00
1678,600,1000,141.705,-6664,-7854,-25400.00,-56000.00
1737,600,1000,137.033,-6791,-8136,-25400.00,-56400.00
1796,600,1000,134.483,-6916,-8413,-25000.00,-55400.00
1855,600,1000,139.216,-7039,-8689,-24600.00,-55200.00
1914,600,1000,144.667,-7160,-8966,-24200.00,-55400.00
1973,600,1000,143.613,-7280,-9244,-24000.00,-55600.00
2032,600,1000,144.789,-7400,-9524,-24000.00,-56000.00
2091,600,1000,145.583,-7520,-9802,-24000.00,-55600.00
2150,600,1000,141.323,-7640,-10076,-24000.00,-54800.00
2210,600,1000,143.216,-7761,-10356,-24200.00,-56000.00
2270,600,1000,147.125,-7882,-10639,-24200.00,-56600.00
2330,600,1000,143.476,-8005,-10924,-24600.00,-57000.00
2390,600,1000,141.888,-8127,-11208,-24400.00,-56800.00
2450,600,1000,139.109,-8249,-11488,-24400.00,-56000.00
2510,600,1000,142.651,-8370,-11769,-24200.00,-56200.00
2570,600,1000,151.277,-8492,-12052,-24400.00,-56600.00
2630,600,1000,147.430,-8614,-12339,-24400.00,-57400.00
2690,600,1000,142.743,-8734,-12624,-24000.00,-57000.00
2750,600,1000,142.392,-8856,-12904,-24400.00,-56000.00
2810,600,1000,144.575,-8977,-13185,-24200.00,-56200.00
2870,600,1000,147.018,-9099,-13468,-24400.00,-56600.00
2930,600,1000,143.155,-9222,-13754,-24600.00,-57200.00
2990,600,1000,141.598,-9346,-14039,-24800.00,-57000.00
3050,800,800,141.461,-9470,-14319,-24800.00,-56000.00
3109,800,800,51.812,-9650,-14591,-36000.00,-54400.00
3167,800,800,23.583,-9882,-14855,-46400.00,-52800.00
3225,800,800,11.903,-10135,-15121,-50600.00,-53200.00
3284,800,800,5.735,-10400,-15393,-53000.00,-54400.00
3342,800,800,-2.539,-10667,-15655,-53400.00,-52400.00
3401,800,800,5.522,-10936,-15923,-53800.00,-53600.00
3459,800,800,5.461,-11201,-16188,-53000.00,-53000.00
3517,800,800,-2.707,-11467,-16455,-53200.00,-53400.00
3576,800,800,5.461,-11739,-16726,-54400.00,-54200.00
3634,800,800,1.399,-12004,-16991,-53000.00,-53000.00
3692,800,800,-5.043,-12268,-17255,-52800.00,-52800.00
3751,800,800,-3.440,-12537,-17524,-53800.00,-53800.00
3810,800,800,11.537,-12806,-17794,-53800.00,-54000.00
3869,800,800,-5.333,-13077,-18063,-54200.00,-53800.00
3928,800,800,-6.326,-13347,-18334,-54000.00,-54200.00
3987,800,800,-5.883,-13615,-18602,-53600.00,-53600.00
4046,800,800,5.919,-13883,-18870,-53600.00,-53600.00
4104,800,800,2.331,-14148,-19135,-53000.00,-53000.00
4162,800,800,-2.448,-14414,-19401,-53200.00,-53200.00
4221,800,800,4.529,-14685,-19672,-54200.00,-54200.00
4279,800,800,1.781,-14950,-19937,-53000.00,-53000.00
4337,800,800,-5.257,-15215,-20202,-53000.00,-53000.00
4396,800,800,1.445,-15484,-20471,-53800.00,-53800.00
4454,800,800,3.445,-15748,-20735,-52800.00,-52800.00
4512,800,800,-1.761,-16014,-21001,-53200.00,-53200.00
4571,800,800,0.148,-16284,-21270,-54000.00,-53800.00
4629,800,800,-0.570,-16547,-21534,-52600.00,-52800.00
4688,800,800,-2.081,-16816,-21803,-53800.00,-53800.00
4747,800,800,2.010,-17087,-22074,-54200.00,-54200.00
4805,800,800,0.850,-17354,-22341,-53400.00,-53400.00
4863,800,800,-1.990,-17621,-22607,-53400.00,-53200.00
4922,800,800,-1.257,-17890,-22877,-53800.00,-54000.00
4981,800,800,5.125,-18158,-23146,-53600.00,-53800.00
5039,800,800,1.919,-18423,-23410,-53000.00,-52800.00
5097,800,800,-3.059,-18689,-23676,-53200.00,-53200.00
5156,800,800,-3.104,-18960,-23948,-54200.00,-54400.00
5215,800,800,7.033,-19232,-24218,-54400.00,-54000.00
5273,800,800,-5.257,-19496,-24483,-52800.00,-53000.00
5332,800,800,-4.768,-19767,-24754,-54200.00,-54200.00
5391,800,800,3.293,-20038,-25026,-54200.00,-54400.00
5449,800,800,3.995,-20306,-25292,-53600.00,-53200.00
5507,800,800,-5.562,-20572,-25558,-53200.00,-53200.00
5566,800,800,14.499,-20840,-25828,-53600.00,-54000.00
5625,800,800,-2.188,-21109,-26097,-53800.00,-53800.00
5684,800,800,2.774,-21377,-26364,-53600.00,-53400.00
5742,800,800,-8.081,-21642,-26630,-53000.00,-53200.00
5801,800,800,0.865,-21912,-26900,-54000.00,-54000.00
5859,800,800,5.109,-22176,-27163,-52800.00,-52600.00
5917,800,800,-3.913,-22440,-27427,-52800.00,-52800.00
5976,800,800,-0.738,-22709,-27696,-53800.00,-53800.00
6035,800,800,1.827,-22980,-27967,-54200.00,-54200.00
6093,800,800,0.606,-23246,-28233,-53200.00,-53200.00
6151,800,800,-2.356,-23512,-28498,-53200.00,-53000.00
6210,800,800,-3.776,-23781,-28768,-53800.00,-54000.00
6269,800,800,3.980,-24050,-29037,-53800.00,-53800.00
6327,800,800,-0.768,-24316,-29303,-53200.00,-53200.00
6386,800,800,3.628,-24587,-29575,-54200.00,-54400.00
6444,800,800,-0.524,-24853,-29839,-53200.00,-52800.00
6503,800,800,-4.967,-25120,-30106,-53400.00,-53400.00
6562,800,800,-3.242,-25387,-30375,-53400.00,-53800.00
6621,800,800,7.873,-25657,-30644,-54000.00,-53800.00
6679,800,800,-2.509,-25922,-30909,-53000.00,-53000.00
6738,800,800,-9.883,-26193,-31180,-54200.00,-54200.00
6797,800,800,2.041,-26461,-31448,-53600.00,-53600.00
6855,800,800,3.323,-26726,-31712,-53000.00,-52800.00
6913,800,800,-1.517,-26991,-31978,-53000.00,-53200.00
6972,800,800,-0.310,-27261,-32249,-54000.00,-54200.00
