t_ms,left_pwm,right_pwm,gyro_z,left_counts,right_counts,left_rate,right_rate
2564,900,500,-200.158,-10524,-5269,-57000.00,-12200.00
2624,900,500,-195.593,-10810,-5332,-57200.00,-12600.00
2684,900,500,-199.776,-11095,-5395,-57000.00,-12600.00
2744,900,500,-205.898,-11380,-5459,-57000.00,-12800.00
2804,900,500,-201.608,-11664,-5522,-56800.00,-12600.00
2864,900,500,-196.845,-11949,-5583,-57000.00,-12200.00
2924,900,500,-208.188,-12234,-5645,-57000.00,-12400.00
2984,900,500,-202.982,-12521,-5707,-57400.00,-12400.00
3044,700,700,-208.081,-12808,-5768,-57400.00,-12200.00
3104,700,700,-105.623,-13075,-5881,-53400.00,-22600.00
3164,700,700,-54.585,-13316,-6046,-48200.00,-33000.00
3223,700,700,-25.272,-13536,-6230,-44000.00,-36800.00
3282,700,700,-5.333,-13744,-6422,-41600.00,-38400.00
3340,700,700,5.048,-13941,-6616,-39400.00,-38800.00
3397,700,700,-5.410,-14133,-6808,-38400.00,-38400.00
3455,700,700,1.735,-14327,-7003,-38800.00,-39000.00
3512,700,700,6.529,-14516,-7190,-37800.00,-37400.00
3569,700,700,-6.921,-14704,-7378,-37600.00,-37600.00
3627,700,700,0.270,-14895,-7570,-38200.00,-38400.00
3684,700,700,-1.501,-15083,-7758,-37600.00,-37600.00
3742,700,700,1.766,-15274,-7949,-38200.00,-38200.00
3799,700,700,1.567,-15462,-8138,-37600.00,-37800.00
3856,700,700,1.323,-15651,-8326,-37800.00,-37600.00
3913,700,700,-1.715,-15840,-8515,-37800.00,-37800.00
3971,700,700,-1.242,-16032,-8707,-38400.00,-38400.00
4029,700,700,0.224,-16226,-8901,-38800.00,-38800.00
4086,700,700,3.674,-16417,-9092,-38200.00,-38200.00
4143,700,700,-2.249,-16608,-9283,-38200.00,-38200.00
4201,700,700,3.109,-16802,-9477,-38800.00,-38800.00
4258,700,700,0.835,-16993,-9668,-38200.00,-38200.00
4315,700,700,-4.784,-17184,-9859,-38200.00,-38200.00
4373,700,700,-0.234,-17377,-10052,-38600.00,-38600.00
4432,700,700,2.560,-17574,-10249,-39400.00,-39400.00
4490,700,700,-4.753,-17768,-10444,-38800.00,-39000.00
4549,700,700,3.384,-17966,-10641,-39600.00,-39400.00
4607,700,700,-1.532,-18160,-10835,-38800.00,-38800.00
4666,700,700,0.682,-18359,-11034,-39800.00,-39800.00
4724,700,700,-2.891,-18556,-11231,-39400.00,-39400.00
4783,700,700,0.163,-18757,-11432,-40200.00,-40200.00
4841,700,700,3.781,-18953,-11629,-39200.00,-39400.00
4899,700,700,4.087,-19150,-11826,-39400.00,-39400.00
4957,700,700,1.781,-19347,-12022,-39400.00,-39200.00
5015,700,700,0.972,-19543,-12218,-39200.00,-39200.00
5073,700,700,0.285,-19737,-12412,-38800.00,-38800.00
5131,700,700,0.728,-19932,-12607,-39000.00,-39000.00
5189,700,700,1.170,-20125,-12800,-38600.00,-38600.00
5247,700,700,1.293,-20318,-12993,-38600.00,-38600.00
5305,700,700,7.216,-20511,-13186,-38600.00,-38600.00
5363,700,700,-5.120,-20704,-13380,-38600.00,-38800.00
5422,700,700,3.644,-20901,-13575,-39400.00,-39000.00
5480,700,700,-4.051,-21095,-13770,-38800.00,-39000.00
5539,700,700,1.857,-21292,-13967,-39400.00,-39400.00
5597,700,700,-2.646,-21485,-14160,-38600.00,-38600.00
5656,700,700,0.651,-21679,-14354,-38800.00,-38800.00
5714,700,700,1.094,-21871,-14546,-38400.00,-38400.00
5772,700,700,1.812,-22064,-14739,-38600.00,-38600.00
5830,700,700,-4.051,-22257,-14932,-38600.00,-38600.00
5889,700,700,1.964,-22454,-15130,-39400.00,-39600.00
5947,700,700,-1.059,-22649,-15324,-39000.00,-38800.00
6006,700,700,-0.539,-22847,-15522,-39600.00,-39600.00
6065,700,700,-2.539,-23045,-15720,-39600.00,-39600.00
6124,700,700,0.499,-23243,-15918,-39600.00,-39600.00
6182,700,700,4.270,-23438,-16114,-39000.00,-39200.00
6240,700,700,0.804,-23635,-16310,-39400.00,-39200.00
6298,700,700,2.575,-23830,-16505,-39000.00,-39000.00
6356,700,700,-1.349,-24026,-16701,-39200.00,-39200.00
6415,700,700,1.079,-24223,-16898,-39400.00,-39400.00
6473,700,700,0.499,-24417,-17092,-38800.00,-38800.00
6531,700,700,-0.005,-24609,-17285,-38400.00,-38600.00
6590,700,700,5.048,-24805,-17481,-39200.00,-39200.00
6648,700,700,0.636,-24999,-17674,-38800.00,-38600.00
6706,700,700,-1.547,-25192,-17867,-38600.00,-38600.00
6765,700,700,0.392,-25389,-18064,-39400.00,-39400.00
6823,700,700,2.789,-25584,-18259,-39000.00,-39000.00
6881,700,700,1.842,-25778,-18452,-38800.00,-38600.00
6939,700,700,-2.539,-25971,-18646,-38600.00,-38800.00
6998,700,700,-0.310,-26167,-18842,-39200.00,-39200.00
