t_ms,left_pwm,right_pwm,gyro_z,left_counts,right_counts,left_rate,right_rate
0,700,700,26.865,-145,-144,0.00,0.00
42,700,700,1.186,-268,-266,-24600.00,-24400.00
94,700,700,1.598,-433,-427,-33000.00,-32200.00
146,700,700,-86.402,-607,-590,-34800.00,-32600.00
201,700,700,25.934,-787,-724,-36000.00,-26800.00
255,700,700,86.880,-919,-811,-26400.00,-17400.00
309,700,700,-20.936,-1034,-890,-23000.00,-15800.00
365,700,700,-19.226,-1165,-998,-26200.00,-21600.00
421,700,700,-11.196,-1316,-1139,-30200.00,-28200.00
478,700,700,0.758,-1479,-1296,-32600.00,-31400.00
533,700,700,7.048,-1655,-1469,-35200.00,-34600.00
588,700,700,-0.799,-1831,-1646,-35200.00,-35400.00
644,700,700,1.964,-2012,-1827,-36200.00,-36200.00
699,700,700,2.712,-2192,-2007,-36000.00,-36000.00
754,700,700,-1.868,-2373,-2188,-36200.00,-36200.00
810,700,700,1.919,-2559,-2374,-37200.00,-37200.00
865,700,700,-0.249,-2743,-2558,-36800.00,-36800.00
921,700,700,-1.761,-2930,-2745,-37400.00,-37400.00
977,700,700,-0.051,-3116,-2931,-37200.00,-37200.00
1033,900,500,5.537,-3304,-3119,-37600.00,-37600.00
1089,900,500,-70.585,-3525,-3294,-44200.00,-35000.00
1147,900,500,-109.226,-3788,-3452,-52600.00,-31600.00
1206,900,500,-128.326,-4066,-3594,-55600.00,-28400.00
1265,900,500,-143.852,-4347,-3720,-56200.00,-25200.00
1324,900,500,-162.234,-4628,-3834,-56200.00,-22800.00
1383,900,500,-163.837,-4909,-3938,-56200.00,-20800.00
1442,900,500,-171.562,-5190,-4033,-56200.00,-19000.00
1501,900,500,-178.402,-5470,-4121,-56000.00,-17600.00
1560,900,500,-191.776,-5751,-4201,-56200.00,-16000.00
1619,900,500,-194.402,-6032,-4275,-56200.00,-14800.00
1678,900,500,-186.753,-6313,-4346,-56200.00,-14200.00
1737,900,500,-189.959,-6594,-4413,-56200.00,-13400.00
1796,900,500,-205.852,-6875,-4478,-56200.00,-13000.00
1855,900,500,-195.975,-7156,-4542,-56200.00,-12800.00
1914,900,500,-194.967,-7435,-4606,-55800.00,-12800.00
1973,900,500,-200.494,-7715,-4670,-56000.00,-12800.00
2032,900,500,-199.791,-7995,-4733,-56000.00,-12600.00
2091,900,500,-199.975,-8275,-4795,-56000.00,-12400.00
2150,900,500,-200.280,-8554,-4855,-55800.00,-12000.00
2209,900,500,-202.219,-8834,-4914,-56000.00,-11800.00
2268,900,500,-207.501,-9115,-4973,-56200.00,-11800.00
2327,900,500,-204.372,-9396,-5031,-56200.00,-11600.00
2386,900,500,-201.257,-9677,-5090,-56200.00,-11800.00
2445,900,500,-202.601,-9958,-5148,-56200.00,-11600.00
2504,900,500,-206.524,-10239,-5208,-56200.00,-12000.00
