t_ms,left_cmd,right_cmd,gyro_z,left_cnt,right_cnt
2,0,0,0.058,0,0
22,0,0,-0.003,0,0
44,0,0,-0.033,0,0
66,0,0,-0.064,0,0
88,0,0,0.119,0,0
109,0,0,-0.064,0,0
132,0,0,-0.110,0,0
155,0,0,0.043,0,0
177,0,0,0.074,0,0
199,0,0,-0.048,0,0
222,0,0,-0.048,0,0
245,0,0,0.028,0,0
267,0,0,0.104,0,0
289,0,0,-0.033,0,0
312,0,0,-0.033,0,0
335,0,0,0.013,0,0
357,0,0,0.074,0,0
379,0,0,-0.064,0,0
402,0,0,0.119,0,0
424,0,0,-0.171,0,0
447,0,0,0.074,0,0
469,0,0,0.104,0,0
491,0,0,-0.064,0,0
514,0,0,-0.110,0,0
537,0,0,0.058,0,0
559,0,0,0.028,0,0
581,0,0,0.028,0,0
603,0,0,0.089,0,0
625,0,0,0.028,0,0
647,0,0,-0.018,0,0
670,0,0,0.028,0,0
692,0,0,0.013,0,0
714,0,0,-0.094,0,0
737,0,0,-0.033,0,0
760,0,0,0.013,0,0
782,0,0,0.013,0,0
804,0,0,-0.018,0,0
827,0,0,-0.048,0,0
850,0,0,-0.064,0,0
873,0,0,0.013,0,0
895,0,0,0.013,0,0
917,0,0,-0.018,0,0
940,0,0,-0.048,0,0
963,0,0,-0.003,0,0
986,0,0,0.058,0,0
1008,-580,820,0.089,0,0
1036,-580,820,62.807,7,-32
1067,-580,820,208.119,28,-115
1101,-580,820,253.081,63,-235
1135,-580,820,287.249,102,-375
1170,-580,820,304.348,144,-530
1205,-580,820,317.738,187,-691
1240,-580,820,325.494,232,-856
1275,-580,820,325.402,277,-1022
1311,-580,820,327.066,324,-1193
1347,-580,820,320.501,371,-1363
1383,-580,820,325.051,417,-1534
1419,-580,820,327.509,463,-1707
1455,-580,820,327.585,509,-1879
1491,-580,820,323.417,555,-2051
1527,-580,820,328.058,600,-2223
1563,-580,820,323.524,646,-2395
1599,-580,820,329.371,692,-2567
1635,-580,820,326.181,739,-2738
1671,-580,820,326.990,785,-2908
1707,-580,820,333.707,832,-3080
1743,-580,820,329.203,880,-3253
1779,-580,820,325.478,928,-3424
1815,-580,820,327.921,976,-3596
1851,-580,820,328.623,1024,-3768
1888,-580,820,326.822,1074,-3945
1925,-580,820,330.425,1124,-4120
1962,-580,820,329.127,1173,-4296
1999,-580,820,330.516,1222,-4472
2036,-580,820,326.852,1270,-4648
2073,-580,820,327.616,1318,-4825
2110,-580,820,324.898,1366,-5001
2147,-580,820,323.814,1413,-5177
2184,-580,820,321.158,1461,-5353
2221,-580,820,328.104,1508,-5529
2258,-580,820,333.188,1555,-5704
2295,-580,820,329.326,1603,-5880
2332,-580,820,327.371,1651,-6058
2369,-580,820,332.715,1699,-6236
2406,-580,820,328.608,1747,-6414
2443,-580,820,324.318,1796,-6592
2480,-580,820,329.555,1844,-6769
2517,0,0,332.379,1891,-6945
2549,0,0,300.150,1925,-7090
2581,0,0,250.929,1948,-7223
2613,0,0,223.906,1958,-7344
2645,0,0,183.967,1960,-7454
2677,0,0,165.326,1960,-7553
2709,0,0,140.211,1960,-7641
2741,0,0,123.845,1960,-7719
2773,0,0,105.921,1960,-7787
2805,0,0,87.600,1960,-7845
2836,0,0,77.127,1960,-7891
2867,0,0,63.555,1960,-7927
2898,0,0,47.814,1960,-7956
2929,0,0,30.196,1960,-7975
2960,0,0,12.868,1960,-7986
2991,0,0,-1.484,1960,-7990
3022,0,0,0.074,1960,-7990
3052,0,0,0.043,1960,-7990
3082,0,0,-0.048,1960,-7990
3113,0,0,-0.064,1960,-7990
3144,0,0,-0.033,1960,-7990
3175,0,0,-0.018,1960,-7990
3206,0,0,-0.003,1960,-7990
3237,0,0,0.028,1960,-7990
3267,0,0,-0.079,1960,-7990
3298,0,0,-0.033,1960,-7990
3329,0,0,0.074,1960,-7990
3359,0,0,-0.079,1960,-7990
3390,0,0,0.058,1960,-7990
3420,0,0,-0.094,1960,-7990
3451,0,0,-0.140,1960,-7990
3482,0,0,0.089,1960,-7990
