t_ms,left_pwm,right_pwm,left_counts,right_counts,left_rate,right_rate
0,600,600,60,67,0.00,0.00
30,600,600,103,114,4300.00,4700.00
69,600,600,167,185,6400.00,7100.00
108,600,600,241,265,7400.00,8000.00
148,600,600,322,352,8100.00,8700.00
188,600,600,407,443,8500.00,9100.00
228,600,600,494,535,8700.00,9200.00
268,600,600,584,631,9000.00,9600.00
308,600,600,675,728,9100.00,9700.00
348,600,600,767,826,9200.00,9800.00
388,600,600,860,925,9300.00,9900.00
428,600,600,952,1025,9200.00,10000.00
470,600,600,1051,1130,9900.00,10500.00
513,600,600,1152,1238,10100.00,10800.00
558,600,600,1259,1350,10700.00,11200.00
603,600,600,1365,1463,10600.00,11300.00
648,600,600,1472,1578,10700.00,11500.00
693,600,600,1580,1692,10800.00,11400.00
738,600,600,1688,1807,10800.00,11500.00
783,600,600,1795,1923,10700.00,11600.00
828,600,600,1904,2037,10900.00,11400.00
873,600,600,2012,2152,10800.00,11500.00
918,600,600,2123,2268,11100.00,11600.00
963,600,600,2232,2384,10900.00,11600.00
1008,500,700,2342,2499,11000.00,11500.00
1054,500,700,2449,2639,10700.00,14000.00
1099,500,700,2547,2797,9800.00,15800.00
1143,500,700,2637,2964,9000.00,16700.00
1188,500,700,2725,3143,8800.00,17900.00
1233,500,700,2812,3327,8700.00,18400.00
1278,500,700,2896,3514,8400.00,18700.00
1323,500,700,2979,3702,8300.00,18800.00
1368,500,700,3059,3891,8000.00,18900.00
1413,500,700,3138,4081,7900.00,19000.00
1458,500,700,3219,4272,8100.00,19100.00
1503,500,700,3297,4462,7800.00,19000.00
1548,500,700,3373,4651,7600.00,18900.00
1593,500,700,3451,4843,7800.00,19200.00
1638,500,700,3525,5035,7400.00,19200.00
1683,500,700,3599,5225,7400.00,19000.00
1728,500,700,3673,5414,7400.00,18900.00
1773,500,700,3747,5605,7400.00,19100.00
1818,600,600,3819,5795,7200.00,19000.00
1863,600,600,3900,5979,8100.00,18400.00
1908,600,600,3991,6148,9100.00,16900.00
1953,600,600,4089,6310,9800.00,16200.00
1998,600,600,4191,6462,10200.00,15200.00
2044,600,600,4296,6610,10500.00,14800.00
2089,600,600,4401,6749,10500.00,13900.00
2134,600,600,4507,6882,10600.00,13300.00
2179,600,600,4612,7010,10500.00,12800.00
2224,600,600,4719,7135,10700.00,12500.00
2269,600,600,4826,7259,10700.00,12400.00
2314,600,600,4932,7380,10600.00,12100.00
2359,600,600,5037,7501,10500.00,12100.00
2404,600,600,5142,7619,10500.00,11800.00
2449,600,600,5248,7735,10600.00,11600.00
2494,600,600,5353,7850,10500.00,11500.00
2539,600,600,5460,7966,10700.00,11600.00
2584,600,600,5567,8081,10700.00,11500.00
2629,600,600,5675,8195,10800.00,11400.00
2674,600,600,5782,8310,10700.00,11500.00
2719,600,600,5889,8424,10700.00,11400.00
2764,600,600,5996,8538,10700.00,11400.00
2809,600,600,6104,8651,10800.00,11300.00
2854,600,600,6211,8767,10700.00,11600.00
2899,600,600,6317,8882,10600.00,11500.00
2944,600,600,6424,8998,10700.00,11600.00
2989,600,600,6532,9114,10800.00,11600.00
