t_ms,left_pwm,right_pwm,gyro_z,left_counts,right_counts,left_rate,right_rate
5851,700,700,-4.814,-15231,-22442,-38400.00,-38400.00
5910,700,700,1.048,-15426,-22637,-39000.00,-39000.00
5968,700,700,3.232,-15618,-22829,-38400.00,-38400.00
6026,700,700,1.094,-15812,-23023,-38800.00,-38800.00
6084,700,700,2.880,-16007,-23219,-39000.00,-39200.00
6142,700,700,-2.707,-16203,-23414,-39200.00,-39000.00
6201,700,700,-2.601,-16401,-23613,-39600.00,-39800.00
6260,700,700,2.682,-16600,-23811,-39800.00,-39600.00
6318,700,700,-7.532,-16794,-24005,-38800.00,-38800.00
6377,700,700,12.224,-16991,-24203,-39400.00,-39600.00
6436,700,700,-2.356,-17189,-24400,-39600.00,-39400.00
6495,700,700,1.735,-17389,-24600,-40000.00,-40000.00
6553,700,700,-0.066,-17584,-24795,-39000.00,-39000.00
6612,700,700,-0.234,-17783,-24994,-39800.00,-39800.00
6671,700,700,12.453,-17981,-25192,-39600.00,-39600.00
6730,700,700,2.041,-18178,-25390,-39400.00,-39600.00
6788,700,700,0.209,-18372,-25582,-38800.00,-38400.00
6846,700,700,0.468,-18565,-25776,-38600.00,-38800.00
6904,700,700,-1.074,-18760,-25971,-39000.00,-39000.00
6963,700,700,4.636,-18957,-26169,-39400.00,-39600.00
